Brand Name,Product Name,Category,Fragrance Type,Volume (ml),Price (INR),Long-lasting (hours),Alcohol-Free,Skin-Friendly,Anti-Perspirant,Customer Rating,Number of Reviews,Manufacturing Date,Expiry Date,Country of Origin,Packaging Type,Shelf Life (Months),Sales in Last Month (Units),Online Availability,Discount (%),Retailer Name
Nivea,Variant 5,Women,Oriental,150,486,5,No,Yes,Yes,2.7,2966,2022-02-05,2024-02-05,India,Roll-on,18,5578,Yes,40,Amazon
Fogg Deo,Variant 43,Women,Spicy,250,285,13,No,No,No,4.6,2424,2022-02-06,2024-02-06,India,Roll-on,35,1163,Yes,27,Flipkart
Engage Deo,Variant 22,Women,Spicy,250,224,24,No,Yes,Yes,3.6,1100,2022-02-07,2024-02-07,India,Spray,14,2108,Yes,40,Flipkart
Fogg Deo,Variant 15,Men,Fruity,100,511,22,Yes,No,Yes,4.7,335,2022-02-08,2024-02-08,India,Spray,32,4979,Yes,22,Local Store
Park Avenue Deodorant,Variant 35,Women,Fresh,150,283,8,Yes,Yes,Yes,3.0,3678,2022-02-09,2024-02-09,India,Roll-on,36,8766,No,10,Local Store
Park Avenue Deodorant,Variant 29,Women,Fruity,100,378,24,No,No,No,4.7,4489,2022-02-10,2024-02-10,India,Stick,16,7014,No,32,Flipkart
Engage Deo,Variant 31,Men,Fresh,250,188,7,Yes,No,No,3.1,4045,2022-02-11,2024-02-11,India,Roll-on,26,6848,No,7,Amazon
Envy Deo,Variant 2,Women,Spicy,200,604,18,No,No,No,4.7,3970,2022-02-12,2024-02-12,India,Spray,20,5904,Yes,24,Amazon
Denver Deo for Men,Variant 43,Unisex,Woody,100,455,12,Yes,No,No,3.5,4953,2022-02-13,2024-02-13,India,Stick,23,2344,Yes,18,Amazon
Nike Deodorant,Variant 11,Men,Spicy,150,227,11,Yes,Yes,Yes,4.5,765,2022-02-14,2024-02-14,India,Stick,18,6066,No,46,Amazon
Fogg Deo,Variant 16,Men,Oriental,250,161,6,No,No,No,3.8,2075,2022-02-15,2024-02-15,India,Stick,12,8544,No,28,Nykaa
Nivea,Variant 13,Men,Fresh,200,458,17,Yes,Yes,Yes,3.2,4417,2022-02-16,2024-02-16,India,Spray,30,6890,Yes,14,Flipkart
Rexona Deodorant,Variant 9,Women,Fruity,250,233,14,Yes,No,No,3.0,36,2022-02-17,2024-02-17,India,Spray,33,2910,Yes,4,Local Store
Engage Deo,Variant 8,Men,Floral,150,220,8,No,No,Yes,4.0,1973,2022-02-18,2024-02-18,India,Roll-on,21,8013,Yes,25,Amazon
Nivea,Variant 27,Women,Fresh,200,326,21,Yes,No,No,4.3,2092,2022-02-19,2024-02-19,India,Roll-on,23,4878,Yes,45,Flipkart
Engage Deo,Variant 6,Men,Floral,250,395,15,No,Yes,Yes,4.3,1690,2022-02-20,2024-02-20,India,Stick,14,9645,Yes,49,Local Store
Park Avenue Deodorant,Variant 15,Unisex,Fresh,250,302,18,No,No,No,4.8,3750,2022-02-21,2024-02-21,India,Spray,19,7412,Yes,46,Nykaa
Denver Deo for Men,Variant 35,Women,Spicy,250,375,18,No,No,Yes,4.6,1994,2022-02-22,2024-02-22,India,Spray,26,749,Yes,40,Nykaa
Park Avenue Deodorant,Variant 19,Men,Oriental,150,295,22,Yes,Yes,Yes,4.6,147,2022-02-23,2024-02-23,India,Spray,34,2515,Yes,3,Nykaa
Engage Deo,Variant 16,Unisex,Fresh,200,652,11,Yes,No,No,4.7,4495,2022-02-24,2024-02-24,India,Stick,13,5126,No,13,Local Store
Engage Deo,Variant 6,Men,Spicy,100,694,12,Yes,No,Yes,3.8,702,2022-02-25,2024-02-25,India,Stick,20,1256,No,7,Myntra
Nivea,Variant 24,Men,Oriental,150,219,10,No,No,Yes,4.2,1531,2022-02-26,2024-02-26,India,Stick,26,4513,Yes,38,Flipkart
Nike Deodorant,Variant 26,Women,Fruity,150,372,10,No,Yes,Yes,2.9,1721,2022-02-27,2024-02-27,India,Roll-on,23,4742,Yes,25,Myntra
Engage Deo,Variant 38,Men,Oriental,250,596,24,No,Yes,No,3.9,2201,2022-02-28,2024-02-28,India,Stick,25,4852,No,26,Flipkart
Envy Deo,Variant 2,Men,Fresh,150,530,7,Yes,No,No,3.2,3067,2022-03-01,2024-02-29,India,Roll-on,17,8798,Yes,47,Myntra
Nike Deodorant,Variant 32,Women,Floral,150,561,13,No,No,No,3.7,3658,2022-03-02,2024-03-01,India,Stick,22,2057,No,35,Nykaa
Nivea,Variant 15,Unisex,Citrus,150,392,12,No,No,No,4.7,2603,2022-03-03,2024-03-02,India,Roll-on,36,4573,No,22,Local Store
Nivea,Variant 45,Men,Aquatic,200,330,10,Yes,Yes,No,4.6,3521,2022-03-04,2024-03-03,India,Roll-on,19,3019,No,47,Flipkart
Envy Deo,Variant 30,Women,Oriental,150,558,17,No,Yes,Yes,4.5,422,2022-03-05,2024-03-04,India,Spray,17,5115,Yes,18,Amazon
Nivea,Variant 35,Men,Aquatic,250,511,4,No,Yes,Yes,4.1,674,2022-03-06,2024-03-05,India,Spray,17,224,Yes,13,Nykaa
Fogg Deo,Variant 48,Unisex,Citrus,200,297,11,No,No,No,3.7,2479,2022-03-07,2024-03-06,India,Stick,14,6183,Yes,29,Flipkart
Nivea,Variant 25,Men,Aquatic,150,252,9,Yes,No,No,4.2,2716,2022-03-08,2024-03-07,India,Spray,24,7754,Yes,28,Local Store
Fogg Deo,Variant 7,Unisex,Aquatic,250,518,10,Yes,Yes,Yes,4.2,1977,2022-03-09,2024-03-08,India,Stick,36,2876,No,26,Nykaa
Nike Deodorant,Variant 42,Unisex,Citrus,200,161,5,No,Yes,No,4.4,326,2022-03-10,2024-03-09,India,Stick,22,4002,Yes,48,Flipkart
Denver Deo for Men,Variant 36,Men,Fruity,150,617,12,No,Yes,No,4.0,2723,2022-03-11,2024-03-10,India,Stick,13,3391,No,27,Amazon
Nivea,Variant 30,Men,Oriental,100,156,10,No,No,Yes,4.4,3517,2022-03-12,2024-03-11,India,Roll-on,19,3019,Yes,47,Amazon
Denver Deo for Men,Variant 6,Men,Fresh,150,487,11,No,Yes,No,3.3,1972,2022-03-13,2024-03-12,India,Spray,33,7821,No,0,Amazon
Park Avenue Deodorant,Variant 49,Unisex,Floral,150,499,9,Yes,No,No,4.2,3949,2022-03-14,2024-03-13,India,Roll-on,30,5634,Yes,12,Nykaa
Park Avenue Deodorant,Variant 25,Women,Spicy,250,609,10,Yes,No,Yes,3.4,1953,2022-03-15,2024-03-14,India,Roll-on,15,6526,Yes,15,Nykaa
Envy Deo,Variant 24,Women,Spicy,200,589,15,Yes,Yes,No,4.7,607,2022-03-16,2024-03-15,India,Stick,24,8368,Yes,15,Flipkart
Engage Deo,Variant 30,Women,Floral,100,276,15,No,No,Yes,4.2,1748,2022-03-17,2024-03-16,India,Stick,23,7222,No,42,Amazon
Rexona Deodorant,Variant 31,Women,Oriental,100,445,5,Yes,Yes,No,3.8,4286,2022-03-18,2024-03-17,India,Stick,28,2853,No,50,Amazon
Park Avenue Deodorant,Variant 29,Unisex,Woody,200,658,21,Yes,Yes,No,3.6,2899,2022-03-19,2024-03-18,India,Roll-on,32,6323,No,48,Nykaa
Rexona Deodorant,Variant 19,Unisex,Woody,150,336,5,No,Yes,No,3.4,4775,2022-03-20,2024-03-19,India,Spray,20,1473,No,45,Amazon
Rexona Deodorant,Variant 21,Women,Woody,250,656,24,No,Yes,No,2.9,1982,2022-03-21,2024-03-20,India,Stick,18,909,No,42,Local Store
Nivea,Variant 15,Women,Oriental,250,228,14,No,No,Yes,3.1,694,2022-03-22,2024-03-21,India,Stick,34,6234,Yes,26,Local Store
Rexona Deodorant,Variant 6,Women,Oriental,150,555,14,Yes,Yes,Yes,4.6,3415,2022-03-23,2024-03-22,India,Stick,19,5035,Yes,39,Nykaa
Envy Deo,Variant 15,Unisex,Woody,100,541,16,Yes,Yes,No,4.4,1791,2022-03-24,2024-03-23,India,Stick,27,9752,Yes,18,Flipkart
Denver Deo for Men,Variant 17,Women,Fresh,250,511,14,No,Yes,Yes,4.6,1208,2022-03-25,2024-03-24,India,Spray,24,8384,Yes,33,Flipkart
Rexona Deodorant,Variant 7,Women,Fresh,100,577,13,Yes,Yes,Yes,3.0,763,2022-03-26,2024-03-25,India,Spray,35,4259,Yes,41,Local Store
Engage Deo,Variant 11,Unisex,Citrus,150,561,15,Yes,Yes,Yes,4.9,3178,2022-03-27,2024-03-26,India,Roll-on,14,2338,No,13,Flipkart
Park Avenue Deodorant,Variant 38,Unisex,Woody,200,599,17,Yes,No,No,2.7,486,2022-03-28,2024-03-27,India,Spray,16,664,Yes,50,Flipkart
Rexona Deodorant,Variant 49,Unisex,Woody,200,255,10,Yes,No,Yes,2.7,4525,2022-03-29,2024-03-28,India,Spray,19,5981,No,24,Amazon
Engage Deo,Variant 41,Unisex,Floral,200,483,9,Yes,Yes,Yes,4.2,4671,2022-03-30,2024-03-29,India,Roll-on,20,1979,No,49,Flipkart
Park Avenue Deodorant,Variant 10,Men,Woody,250,567,20,No,No,Yes,2.7,188,2022-03-31,2024-03-30,India,Roll-on,27,4322,No,12,Nykaa
Envy Deo,Variant 13,Women,Spicy,250,370,6,Yes,No,Yes,4.3,4442,2022-04-01,2024-03-31,India,Roll-on,19,2396,Yes,43,Nykaa
Denver Deo for Men,Variant 35,Unisex,Fruity,100,445,11,Yes,Yes,Yes,3.5,402,2022-04-02,2024-04-01,India,Roll-on,28,4590,Yes,5,Nykaa
Engage Deo,Variant 26,Men,Floral,200,369,17,No,No,Yes,4.1,406,2022-04-03,2024-04-02,India,Stick,34,5672,No,36,Local Store
Denver Deo for Men,Variant 27,Men,Woody,200,252,8,Yes,Yes,Yes,3.3,2722,2022-04-04,2024-04-03,India,Stick,32,1834,No,48,Myntra
Park Avenue Deodorant,Variant 15,Women,Citrus,200,395,19,Yes,Yes,No,3.1,4689,2022-04-05,2024-04-04,India,Stick,26,7160,Yes,24,Nykaa
Nivea,Variant 24,Women,Floral,150,261,13,No,No,No,3.2,2535,2022-04-06,2024-04-05,India,Stick,16,6909,No,4,Nykaa
Fogg Deo,Variant 24,Women,Oriental,150,460,16,Yes,No,Yes,5.0,1328,2022-04-07,2024-04-06,India,Spray,26,8385,No,3,Myntra
Park Avenue Deodorant,Variant 31,Unisex,Aquatic,100,673,7,No,Yes,Yes,3.3,2135,2022-04-08,2024-04-07,India,Stick,32,4412,Yes,20,Local Store
Rexona Deodorant,Variant 18,Unisex,Woody,150,352,10,No,Yes,Yes,5.0,1108,2022-04-09,2024-04-08,India,Stick,28,6365,No,45,Local Store
Park Avenue Deodorant,Variant 45,Women,Citrus,200,203,7,No,No,Yes,3.1,2511,2022-04-10,2024-04-09,India,Roll-on,25,1566,No,24,Local Store
Nivea,Variant 3,Women,Fresh,200,209,19,Yes,Yes,Yes,4.6,979,2022-04-11,2024-04-10,India,Roll-on,33,9969,No,23,Nykaa
Nivea,Variant 41,Men,Oriental,200,360,6,Yes,Yes,Yes,3.2,431,2022-04-12,2024-04-11,India,Roll-on,33,4766,No,40,Myntra
Denver Deo for Men,Variant 38,Women,Aquatic,250,366,22,No,Yes,Yes,4.0,553,2022-04-13,2024-04-12,India,Stick,36,994,No,42,Nykaa
Envy Deo,Variant 37,Unisex,Woody,150,268,22,Yes,Yes,No,4.7,1875,2022-04-14,2024-04-13,India,Stick,30,5652,Yes,26,Local Store
Fogg Deo,Variant 50,Women,Fresh,150,573,11,Yes,No,No,3.0,918,2022-04-15,2024-04-14,India,Spray,13,3721,No,3,Local Store
Denver Deo for Men,Variant 37,Unisex,Oriental,150,185,10,Yes,No,No,4.5,4261,2022-04-16,2024-04-15,India,Roll-on,18,2926,No,42,Amazon
Fogg Deo,Variant 33,Men,Woody,100,505,11,Yes,Yes,Yes,4.0,4606,2022-04-17,2024-04-16,India,Spray,35,9338,No,17,Myntra
Nivea,Variant 38,Unisex,Aquatic,200,486,6,No,Yes,No,4.3,4486,2022-04-18,2024-04-17,India,Spray,31,9794,No,29,Flipkart
Envy Deo,Variant 41,Unisex,Citrus,150,698,9,No,Yes,Yes,3.4,306,2022-04-19,2024-04-18,India,Roll-on,27,5927,No,46,Nykaa
Fogg Deo,Variant 3,Men,Woody,250,297,24,Yes,Yes,Yes,4.9,4602,2022-04-20,2024-04-19,India,Stick,36,4031,Yes,40,Flipkart
Nivea,Variant 22,Men,Spicy,200,484,18,No,No,No,2.9,83,2022-04-21,2024-04-20,India,Spray,33,2338,Yes,48,Flipkart
Engage Deo,Variant 12,Men,Fresh,200,328,17,Yes,Yes,No,3.5,4546,2022-04-22,2024-04-21,India,Stick,33,4822,Yes,36,Flipkart
Nivea,Variant 32,Women,Citrus,150,314,24,Yes,Yes,No,4.8,1666,2022-04-23,2024-04-22,India,Stick,28,5278,Yes,11,Nykaa
Rexona Deodorant,Variant 48,Unisex,Oriental,250,659,18,No,No,No,3.3,1355,2022-04-24,2024-04-23,India,Stick,14,7798,Yes,15,Local Store
Rexona Deodorant,Variant 27,Men,Citrus,250,371,20,No,No,Yes,2.6,2339,2022-04-25,2024-04-24,India,Roll-on,30,5641,Yes,25,Nykaa
Nivea,Variant 50,Women,Fruity,200,366,11,No,Yes,Yes,4.1,2736,2022-04-26,2024-04-25,India,Spray,33,1888,Yes,38,Amazon
Fogg Deo,Variant 5,Men,Aquatic,150,667,11,Yes,Yes,Yes,3.8,4945,2022-04-27,2024-04-26,India,Stick,33,7041,Yes,34,Flipkart
Nivea,Variant 16,Unisex,Aquatic,200,236,9,Yes,Yes,No,2.6,471,2022-04-28,2024-04-27,India,Roll-on,30,9844,Yes,38,Nykaa
Engage Deo,Variant 9,Unisex,Oriental,100,395,17,Yes,No,No,4.8,1037,2022-04-29,2024-04-28,India,Stick,23,4887,Yes,33,Flipkart
Engage Deo,Variant 41,Men,Floral,200,560,21,No,No,Yes,3.5,836,2022-04-30,2024-04-29,India,Roll-on,19,9152,No,5,Amazon
Nivea,Variant 37,Unisex,Fresh,150,215,10,No,No,No,3.2,3431,2022-05-01,2024-04-30,India,Stick,15,4844,Yes,8,Local Store
Envy Deo,Variant 9,Women,Citrus,250,195,9,No,Yes,Yes,2.9,1811,2022-05-02,2024-05-01,India,Stick,15,3749,No,27,Amazon
Nike Deodorant,Variant 44,Men,Spicy,250,344,5,Yes,Yes,Yes,4.9,4239,2022-05-03,2024-05-02,India,Stick,28,2361,Yes,23,Amazon
Envy Deo,Variant 15,Unisex,Citrus,150,298,4,No,No,Yes,4.6,3182,2022-05-04,2024-05-03,India,Roll-on,30,2030,Yes,20,Myntra
Denver Deo for Men,Variant 50,Men,Citrus,100,315,19,Yes,No,Yes,3.5,3321,2022-05-05,2024-05-04,India,Roll-on,15,5602,Yes,12,Local Store
Rexona Deodorant,Variant 13,Women,Woody,250,455,9,No,No,Yes,3.4,4829,2022-05-06,2024-05-05,India,Roll-on,27,7513,Yes,33,Nykaa
Fogg Deo,Variant 20,Women,Woody,200,502,11,No,Yes,Yes,3.5,1286,2022-05-07,2024-05-06,India,Roll-on,33,1934,Yes,31,Flipkart
Envy Deo,Variant 19,Unisex,Spicy,100,422,15,No,No,Yes,4.3,1511,2022-05-08,2024-05-07,India,Roll-on,31,3893,No,35,Flipkart
Nivea,Variant 45,Women,Oriental,250,155,20,Yes,No,No,4.8,732,2022-05-09,2024-05-08,India,Spray,16,8801,No,30,Amazon
Envy Deo,Variant 17,Women,Aquatic,200,601,9,Yes,No,No,3.1,532,2022-05-10,2024-05-09,India,Roll-on,14,2298,No,32,Myntra
Nike Deodorant,Variant 32,Unisex,Woody,200,267,20,No,Yes,No,4.8,427,2022-05-11,2024-05-10,India,Spray,29,7621,Yes,28,Nykaa
Park Avenue Deodorant,Variant 32,Women,Woody,150,425,23,Yes,Yes,Yes,4.0,1880,2022-05-12,2024-05-11,India,Spray,35,8872,No,1,Flipkart
Nivea,Variant 28,Men,Fruity,150,668,6,No,Yes,Yes,2.9,1803,2022-05-13,2024-05-12,India,Roll-on,15,3365,Yes,1,Nykaa
Nivea,Variant 36,Unisex,Woody,200,474,17,Yes,No,No,4.5,3080,2022-05-14,2024-05-13,India,Stick,25,4682,Yes,29,Myntra
Engage Deo,Variant 6,Unisex,Aquatic,100,287,18,No,Yes,Yes,4.8,3656,2022-05-15,2024-05-14,India,Spray,15,3685,Yes,26,Myntra
Denver Deo for Men,Variant 34,Unisex,Floral,250,646,7,Yes,No,Yes,3.0,4875,2022-05-16,2024-05-15,India,Stick,31,794,No,2,Flipkart
Fogg Deo,Variant 48,Women,Woody,250,410,7,No,Yes,Yes,3.6,1963,2022-05-17,2024-05-16,India,Stick,13,9670,Yes,20,Flipkart
Engage Deo,Variant 10,Unisex,Fresh,250,255,22,Yes,Yes,No,4.3,3170,2022-05-18,2024-05-17,India,Stick,25,6185,No,24,Amazon
Envy Deo,Variant 31,Women,Spicy,150,259,19,No,No,No,4.4,3005,2022-05-19,2024-05-18,India,Stick,29,7115,No,31,Myntra
Engage Deo,Variant 24,Unisex,Fruity,200,608,4,Yes,Yes,Yes,5.0,366,2022-05-20,2024-05-19,India,Stick,13,2140,No,22,Local Store
Denver Deo for Men,Variant 40,Women,Oriental,200,474,20,Yes,Yes,No,2.8,1653,2022-05-21,2024-05-20,India,Spray,18,736,Yes,37,Amazon
Envy Deo,Variant 47,Men,Woody,100,198,4,Yes,No,No,4.9,4421,2022-05-22,2024-05-21,India,Stick,27,7235,Yes,32,Myntra
Nivea,Variant 25,Women,Citrus,200,164,10,No,Yes,No,4.5,3873,2022-05-23,2024-05-22,India,Roll-on,26,1935,No,37,Nykaa
Engage Deo,Variant 16,Men,Spicy,250,420,19,Yes,No,No,3.9,284,2022-05-24,2024-05-23,India,Spray,15,183,Yes,0,Flipkart
Engage Deo,Variant 19,Men,Fruity,200,664,15,Yes,Yes,No,3.3,3185,2022-05-25,2024-05-24,India,Stick,32,9256,No,14,Flipkart
Envy Deo,Variant 32,Unisex,Spicy,200,260,13,Yes,No,Yes,2.7,1012,2022-05-26,2024-05-25,India,Stick,25,5336,Yes,35,Myntra
Engage Deo,Variant 1,Men,Fruity,150,439,6,Yes,No,Yes,3.2,4612,2022-05-27,2024-05-26,India,Stick,25,5821,No,46,Amazon
Fogg Deo,Variant 14,Women,Fresh,100,635,21,No,Yes,Yes,4.6,2401,2022-05-28,2024-05-27,India,Stick,23,3019,No,8,Flipkart
Engage Deo,Variant 24,Men,Fruity,200,611,15,No,No,Yes,5.0,3707,2022-05-29,2024-05-28,India,Stick,28,5586,Yes,31,Flipkart
Fogg Deo,Variant 5,Women,Floral,250,168,12,No,Yes,No,4.6,3115,2022-05-30,2024-05-29,India,Spray,20,4729,Yes,12,Local Store
Nike Deodorant,Variant 16,Women,Oriental,150,586,17,Yes,Yes,No,4.1,2963,2022-05-31,2024-05-30,India,Roll-on,28,4932,No,35,Myntra
Park Avenue Deodorant,Variant 33,Men,Floral,250,430,15,No,No,No,4.1,1565,2022-06-01,2024-05-31,India,Stick,29,4308,No,30,Amazon
Engage Deo,Variant 20,Unisex,Floral,200,219,5,Yes,Yes,Yes,4.7,4152,2022-06-02,2024-06-01,India,Stick,24,5834,No,12,Myntra
Engage Deo,Variant 5,Women,Fruity,150,430,23,Yes,No,Yes,3.4,4662,2022-06-03,2024-06-02,India,Roll-on,19,8976,No,47,Amazon
Engage Deo,Variant 6,Women,Woody,200,441,8,No,Yes,Yes,5.0,3846,2022-06-04,2024-06-03,India,Stick,24,3041,Yes,12,Myntra
Engage Deo,Variant 30,Unisex,Citrus,200,259,8,No,Yes,No,3.5,1563,2022-06-05,2024-06-04,India,Roll-on,12,463,No,31,Local Store
Envy Deo,Variant 20,Unisex,Woody,200,494,18,No,Yes,No,3.7,927,2022-06-06,2024-06-05,India,Roll-on,21,6866,No,8,Local Store
Denver Deo for Men,Variant 9,Unisex,Fruity,250,468,9,No,Yes,Yes,3.8,165,2022-06-07,2024-06-06,India,Spray,13,9434,Yes,24,Myntra
Nivea,Variant 14,Unisex,Oriental,100,511,19,No,No,No,3.9,3789,2022-06-08,2024-06-07,India,Stick,23,4460,No,23,Nykaa
Nivea,Variant 16,Men,Aquatic,100,212,23,No,No,No,4.8,1324,2022-06-09,2024-06-08,India,Stick,26,8974,No,11,Myntra
Nivea,Variant 14,Women,Fresh,200,310,14,Yes,No,Yes,3.0,999,2022-06-10,2024-06-09,India,Roll-on,32,2090,No,21,Nykaa
Denver Deo for Men,Variant 19,Unisex,Aquatic,100,581,15,Yes,No,Yes,2.7,4733,2022-06-11,2024-06-10,India,Roll-on,16,7156,No,3,Flipkart
Nivea,Variant 8,Women,Woody,100,371,24,No,No,No,4.5,1117,2022-06-12,2024-06-11,India,Roll-on,22,495,Yes,49,Amazon
Nivea,Variant 22,Men,Woody,200,369,23,Yes,Yes,No,3.3,4270,2022-06-13,2024-06-12,India,Spray,17,60,Yes,4,Myntra
Park Avenue Deodorant,Variant 25,Unisex,Floral,200,332,4,No,Yes,No,4.4,2418,2022-06-14,2024-06-13,India,Roll-on,32,2970,No,17,Nykaa
Nivea,Variant 4,Unisex,Aquatic,100,615,23,Yes,No,Yes,4.2,4433,2022-06-15,2024-06-14,India,Roll-on,22,2341,No,21,Flipkart
Fogg Deo,Variant 18,Women,Oriental,200,597,9,Yes,No,No,4.6,996,2022-06-16,2024-06-15,India,Roll-on,23,7556,No,17,Flipkart
Nivea,Variant 32,Unisex,Floral,150,434,22,No,No,Yes,3.3,430,2022-06-17,2024-06-16,India,Spray,22,8276,No,32,Amazon
Rexona Deodorant,Variant 4,Men,Aquatic,150,648,24,No,Yes,Yes,3.1,4547,2022-06-18,2024-06-17,India,Roll-on,23,9434,No,14,Nykaa
Nike Deodorant,Variant 42,Men,Fruity,150,672,18,No,Yes,Yes,4.2,3204,2022-06-19,2024-06-18,India,Spray,27,6824,No,16,Flipkart
